seed,agent,mean_steps,std_steps,mean_final_energy,std_final_energy,mean_negentropy
1,random,92.62,72.7944750650762,-11.72,10.551852917852864,1.2343186025800308
1,greedy,163.2,38.649191453379714,0.0,0.0,1.4844188033276853
1,cef,339.2,130.75687362429554,16.2,31.329857963291182,0.7499837207634396
500,random,94.09,57.32540361829126,-8.69,9.57151503159244,0.9631220659709369
500,greedy,162.6,37.80529063504208,0.0,0.0,1.496960461804318
500,cef,370.89,132.86736958335555,25.41,38.427358743478585,0.6762871276225206
1000,random,86.39,73.853218616388,-10.39,10.028853374140038,1.2689708085635099
1000,greedy,157.6,41.59615366833814,0.0,0.0,1.5212741485092516
1000,cef,356.41,124.14959484428454,21.19,38.64186719091095,0.6712235189657754
1500,random,97.39,61.6595321098044,-10.09,10.709897291757752,1.04342337701542
1500,greedy,154.2,35.13345983531938,0.0,0.0,1.5114864715287681
1500,cef,362.0,130.62924634246346,19.9,35.11395733892721,0.6298630524769082
2000,random,99.6,54.672113549779645,-7.9,9.797448647479607,0.7587082387727848
2000,greedy,162.8,37.63190136041494,0.0,0.0,1.546068249971233
2000,cef,357.78,133.42080647335334,22.92,37.663159718749036,0.7266893523093851
