agent,mean_steps,std_steps,mean_final_energy,std_final_energy,mean_negentropy
random,86.39,73.853218616388,-10.39,10.028853374140038,1.2689708085635099
greedy,157.6,41.59615366833814,0.0,0.0,1.5212741485092516
cef,356.41,124.14959484428454,21.19,38.64186719091095,0.6712235189657754
