seed,anova_F,anova_p,kruskal_H,kruskal_p
1,200.48350055953603,7.849672107435977e-56,179.1655975757856,1.2436117392321541e-39
500,275.93684583374835,1.8669651766287755e-68,198.5467613014271,7.693404789750424e-44
1000,257.3983563421905,1.41713232766957e-65,199.1930634905353,5.568982412361837e-44
1500,260.7716209456541,4.1462079862420843e-66,189.87606707586298,5.874026638897096e-42
2000,242.2321887800583,4.048728243983289e-63,185.4318556885059,5.419811132829161e-41
